epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3079,1.49245,6.32791,1.24246,0.00412,0.85143,0.33781,0.2689,0.82441,7.20627,0.66633,0.00017148,0.00017148,0.00017148
2,127.775,1.516,5.9265,1.12194,0.00409,0.85143,0.4787,0.31546,0.91092,7.03484,0.69165,0.000350176,0.000350176,0.000350176
3,188.002,1.54299,5.26683,1.29734,0.0041,0.85143,0.46556,0.27889,0.93517,6.9759,0.71767,0.000521516,0.000521516,0.000521516
4,248.131,1.31402,4.15356,1.17038,1,0.22711,0.36856,0.23577,0.91212,6.80992,0.71043,0.0006855,0.0006855,0.0006855
5,308.839,1.47142,3.75762,1.23688,0.003,0.6781,0.48129,0.2722,1.01473,6.6487,0.77563,0.000842127,0.000842127,0.000842127
6,375.733,1.42208,3.83043,1.21072,0.0033,0.72857,0.66225,0.36195,1.01842,6.49827,0.82511,0.000991397,0.000991397,0.000991397
7,443.08,1.35373,5.77219,1.15438,1,0.18092,0.73832,0.31617,0.98292,6.22551,0.8328,0.00113331,0.00113331,0.00113331
8,510.016,1.24426,9.06167,1.04277,0.903,0.4066,0.73023,0.37465,1.05609,6.02592,0.88065,0.00123094,0.00123094,0.00123094
9,577.343,1.35,3.26861,1.28335,0.70113,0.69026,0.75808,0.43464,0.98573,5.38492,0.87593,0.00120265,0.00120265,0.00120265
10,644.088,1.38719,3.18663,1.25495,0.68326,0.71319,0.76053,0.39216,1.05595,5.09839,0.9131,0.00117435,0.00117435,0.00117435
11,710.384,1.40566,2.95023,1.24599,0.78983,0.72689,0.83982,0.49577,0.9927,4.6211,0.87631,0.00114606,0.00114606,0.00114606
12,768.267,1.30745,3.7217,1.18388,0.65869,0.77927,0.76386,0.426,1.04809,4.93355,0.91311,0.00111776,0.00111776,0.00111776
13,826.633,1.32261,2.77792,1.24346,0.71781,0.82647,0.84152,0.44175,1.03334,4.46666,0.9383,0.00108947,0.00108947,0.00108947
14,898.47,1.13831,2.55467,1.07702,0.71359,0.84043,0.86488,0.43196,1.1172,4.32361,0.97669,0.00106118,0.00106118,0.00106118
15,974.486,1.23802,2.87973,1.10974,0.75746,0.84347,0.82177,0.436,1.06252,4.30226,0.94174,0.00103288,0.00103288,0.00103288
16,1050.91,1.21763,2.74823,1.19552,0.80375,0.7099,0.83067,0.42216,1.08082,4.89698,0.97912,0.00100459,0.00100459,0.00100459
17,1121.86,1.33931,5.80802,1.13623,0.70594,0.78507,0.85172,0.44061,1.10891,6.10919,1.05249,0.000976293,0.000976293,0.000976293
18,1205.16,1.17099,2.19641,1.11707,0.77378,0.87871,0.86107,0.4763,1.09706,4.68451,1.02585,0.000947999,0.000947999,0.000947999
19,1281.01,0.98614,6.13951,0.92424,0.87139,0.88418,0.90869,0.49991,1.04964,3.97364,0.94886,0.000919704,0.000919704,0.000919704
20,1356.39,1.1258,2.14232,1.11355,0.79397,0.82578,0.91429,0.49273,1.00024,3.97686,0.92622,0.00089141,0.00089141,0.00089141
21,1435.59,1.08232,2.08068,1.12636,0.89658,0.82952,0.91668,0.53243,0.95413,3.87325,0.87525,0.000863116,0.000863116,0.000863116
22,1514.93,1.1774,2.33294,1.15315,0.71959,0.92227,0.90175,0.52199,0.9643,3.90909,0.86725,0.000834822,0.000834822,0.000834822
23,1589.07,0.99123,1.8268,1.02831,0.88229,0.77787,0.89116,0.51249,0.95105,3.8596,0.87642,0.000806528,0.000806528,0.000806528
24,1666.58,0.96905,3.25773,1.03199,0.84507,0.77345,0.87268,0.50336,0.9514,3.76945,0.86523,0.000778233,0.000778233,0.000778233
25,1746.41,1.14784,2.26604,1.1477,0.79379,0.89559,0.90408,0.52464,0.95363,3.4021,0.8471,0.000749939,0.000749939,0.000749939
26,1820.07,1.1811,1.88947,1.11596,0.87159,0.87404,0.88508,0.51708,0.94401,3.29125,0.83816,0.000721645,0.000721645,0.000721645
27,1908.68,1.11323,2.20315,1.10009,0.92534,0.91238,0.89943,0.52514,0.95234,3.13405,0.85312,0.000693351,0.000693351,0.000693351
28,1991.66,1.03315,1.72618,1.08996,0.92687,0.89315,0.90378,0.54487,0.96356,3.14637,0.8739,0.000665057,0.000665057,0.000665057
29,2068.84,1.11077,3.19046,1.11659,0.91689,0.87238,0.89783,0.54043,0.95868,3.14838,0.87153,0.000636762,0.000636762,0.000636762
30,2143.36,1.00154,1.73594,1.03329,0.86885,0.86267,0.89068,0.51703,0.95948,3.29466,0.87736,0.000608468,0.000608468,0.000608468
31,2203.09,0.99231,2.87563,0.98229,0.88139,0.8619,0.90848,0.53503,0.9562,3.13135,0.86377,0.000580174,0.000580174,0.000580174
